primary tumor,project_id,total_files,normal_pct,solid tissue normal,metastatic,recurrent tumor,additional - new primary,primary blood derived cancer - peripheral blood,additional metastatic
972.0,TCGA-KIRC,1455,33,480.0,,,3.0,,
2379.0,TCGA-BRCA,2685,11,291.0,15.0,,,,
1521.0,TCGA-THCA,1713,10,168.0,24.0,,,,
1584.0,TCGA-HNSC,1740,9,150.0,6.0,,,,
1131.0,TCGA-LIHC,1290,12,150.0,,9.0,,,
1506.0,TCGA-PRAD,1659,9,150.0,3.0,,,,
1314.0,TCGA-UCEC,1455,9,138.0,,3.0,,,
825.0,TCGA-KIRP,963,14,135.0,,,3.0,,
1110.0,TCGA-LUSC,1236,10,126.0,,,,,
936.0,TCGA-COAD,1056,11,114.0,3.0,3.0,,,
1419.0,TCGA-LUAD,1521,6,96.0,,6.0,,,
1254.0,TCGA-BLCA,1320,5,63.0,3.0,,,,
555.0,TCGA-ESCA,606,8,48.0,3.0,,,,
552.0,TCGA-PAAD,585,5,30.0,3.0,,,,
108.0,TCGA-CHOL,135,20,27.0,,,,,
294.0,TCGA-READ,318,7,21.0,,3.0,,,
783.0,TCGA-SARC,807,1,12.0,3.0,9.0,,,
537.0,TCGA-PCPG,561,2,9.0,6.0,,9.0,,
921.0,TCGA-CESC,936,1,9.0,6.0,,,,
420.0,TCGA-GBM,465,1,6.0,,39.0,,,
312.0,TCGA-SKCM,1425,0,6.0,1104.0,,,,3.0
1185.0,TCGA-STAD,1191,1,6.0,,,,,
372.0,TCGA-THYM,378,2,6.0,,,,,
240.0,TCGA-ACC,240,0,,,,,,
144.0,TCGA-DLBC,144,0,,,,,,
198.0,TCGA-KICH,198,0,,,,,,
,TCGA-LAML,582,0,,,,,582.0,
1548.0,TCGA-LGG,1602,0,,,54.0,,,
261.0,TCGA-MESO,261,0,,,,,,
30.0,TCGA-OV,30,0,,,,,,
450.0,TCGA-TGCT,468,0,,,,18.0,,
171.0,TCGA-UCS,171,0,,,,,,
240.0,TCGA-UVM,240,0,,,,,,
